SubjectTag	SubjectID	SAMPLE_RACE	SAMPLE_SEX	ASVAB-8
94600	946	3	1	49
94700	947	3	1	51
94800	948	3	1	52
94900	949	3	2	39
95000	950	3	2	59
95100	951	3	1	30
95200	952	3	2	61
95300	953	3	2	57
95400	954	3	2	55
95500	955	3	1	53
95600	956	3	1	53
95700	957	3	1	40
95800	958	3	1	45
95900	959	3	1	54
96000	960	3	1	54
96100	961	3	1	59
96200	962	3	2	54
96300	963	3	2	20
96400	964	3	2	57
96500	965	3	1	56
96600	966	3	2	37
96700	967	3	2	36
96800	968	3	1	44
96900	969	3	2	24
97000	970	3	1	20
97100	971	3	2	60
97200	972	3	2	48
97300	973	3	1	58
97400	974	3	2	71
97500	975	3	2	-4
97600	976	3	2	63
97700	977	3	1	58
97800	978	3	2	51
97900	979	3	2	51
98000	980	3	1	45
98100	981	3	2	57
98200	982	3	2	45
98300	983	3	1	-4
98400	984	3	1	15
98500	985	3	1	49
98600	986	2	2	55
98700	987	3	1	45
98800	988	2	2	36
98900	989	3	2	59
99000	990	3	1	51
99100	991	3	2	43
99200	992	3	2	45
99300	993	3	1	57
99400	994	3	1	69
99500	995	3	2	63
99600	996	3	1	63
99700	997	3	1	38
99800	998	3	2	53
99900	999	3	2	38
100000	1000	2	1	46
100100	1001	2	2	45
100200	1002	2	1	42
100300	1003	3	1	46
100400	1004	3	2	45
100500	1005	3	2	26
100600	1006	3	2	55
100700	1007	3	1	54
100800	1008	3	2	62
100900	1009	3	2	51
101000	1010	3	1	51
101100	1011	3	1	38
101200	1012	3	1	13
101300	1013	3	1	51
101400	1014	3	1	45
101500	1015	3	2	50
101600	1016	3	2	69
101700	1017	3	2	57
101800	1018	3	2	47
101900	1019	3	2	49
102000	1020	3	2	76
102100	1021	3	1	35
102200	1022	3	2	18
102300	1023	3	1	55
102400	1024	3	2	61
102500	1025	2	2	-4
102600	1026	3	1	-4
102700	1027	2	1	38
102800	1028	2	1	19
102900	1029	2	2	54
103000	1030	2	2	42
103100	1031	2	2	32
103200	1032	2	1	11
103300	1033	2	2	49
103400	1034	2	2	39
103500	1035	3	2	37
103600	1036	3	2	-4
103700	1037	3	2	45
103800	1038	3	2	40
103900	1039	3	2	44
104000	1040	3	2	40
104100	1041	3	2	-4
104200	1042	3	1	40
104300	1043	3	1	11
104400	1044	3	1	27
104500	1045	3	1	39
104600	1046	3	1	51
104700	1047	3	2	25
104800	1048	3	2	37
104900	1049	3	2	52
105000	1050	3	2	61
105100	1051	3	1	51
105200	1052	3	1	64
105300	1053	3	1	65
105400	1054	3	1	-4
105500	1055	3	1	66
105600	1056	3	2	53
105700	1057	2	2	20
105800	1058	2	1	37
105900	1059	2	1	22
106000	1060	3	1	35
106100	1061	3	1	56
106200	1062	3	1	58
106300	1063	3	2	52
106400	1064	3	1	56
106500	1065	3	2	61
106600	1066	2	1	-4
106700	1067	2	1	8
106800	1068	2	1	15
106900	1069	3	2	44
107000	1070	2	2	49
107100	1071	2	2	37
107200	1072	2	1	29
107300	1073	2	2	27
107400	1074	2	2	42
107500	1075	3	2	-4
107600	1076	1	2	11
107700	1077	3	2	36
107800	1078	2	2	70
107900	1079	2	2	49
108000	1080	3	2	52
108100	1081	3	1	35
108200	1082	3	2	50
108300	1083	3	2	54
108400	1084	3	1	31
108500	1085	3	1	43
108600	1086	3	2	48
108700	1087	3	2	52
108800	1088	3	2	70
108900	1089	3	1	24
109000	1090	3	2	55
109100	1091	3	1	38
109200	1092	3	1	19
109300	1093	3	2	69
109400	1094	3	1	36
109500	1095	3	1	29
109600	1096	3	1	17
109700	1097	3	1	27
109800	1098	3	1	37
109900	1099	3	1	42
110000	1100	3	2	39
110100	1101	1	2	56
110200	1102	3	1	45
110300	1103	3	2	66
110400	1104	3	2	59
110500	1105	3	2	54
110600	1106	3	2	26
110700	1107	3	1	15
110800	1108	3	2	46
110900	1109	3	1	64
111000	1110	3	2	41
111100	1111	3	2	28
111200	1112	3	2	33
111300	1113	1	1	-4
111400	1114	1	2	37
111500	1115	1	1	45
111600	1116	1	2	54
111700	1117	1	2	32
111800	1118	1	2	60
111900	1119	1	1	48
112000	1120	1	1	70
112100	1121	1	2	-4
112200	1122	1	1	51
112300	1123	1	2	58
112400	1124	1	1	12
112500	1125	1	1	-4
112600	1126	1	2	-4
112700	1127	1	1	40
112800	1128	1	2	-4
112900	1129	3	2	4
113000	1130	1	2	43
113100	1131	1	2	52
113200	1132	1	2	46
113300	1133	3	2	-4
113400	1134	3	1	36
113500	1135	3	2	42
113600	1136	1	2	66
113700	1137	3	1	32
113800	1138	3	1	60
113900	1139	3	2	51
114000	1140	3	2	64
114100	1141	3	2	53
114200	1142	1	1	57
114300	1143	3	1	66
114400	1144	3	1	60
114500	1145	3	1	49
114600	1146	3	1	13
114700	1147	3	2	49
114800	1148	2	1	31
114900	1149	2	1	17
115000	1150	2	1	24
115100	1151	2	1	-4
115200	1152	2	2	31
115300	1153	2	1	33
115400	1154	2	2	56
115500	1155	2	2	59
115600	1156	2	1	47
115700	1157	2	2	40
115800	1158	2	2	68
115900	1159	2	2	38
116000	1160	2	2	36
116100	1161	2	2	33
116200	1162	2	2	2
116300	1163	3	2	32
116400	1164	3	2	-4
116500	1165	2	2	30
116600	1166	2	2	39
116700	1167	3	2	43
116800	1168	2	2	17
116900	1169	3	1	38
117000	1170	3	2	52
117100	1171	3	1	52
117200	1172	3	2	65
117300	1173	3	1	40
117400	1174	3	1	64
117500	1175	3	2	64
117600	1176	3	1	72
117700	1177	3	2	69
117800	1178	3	2	49
117900	1179	3	2	51
118000	1180	3	1	70
118100	1181	3	2	50
118200	1182	3	2	58
118300	1183	3	1	46
118400	1184	3	2	5
118500	1185	3	1	24
118600	1186	3	1	32
118700	1187	3	2	42
118800	1188	3	1	41
118900	1189	2	2	47
119000	1190	2	1	28
119100	1191	2	2	51
119200	1192	2	1	37
119300	1193	2	1	26
119400	1194	2	1	49
119500	1195	2	2	36
119600	1196	3	1	-4
119700	1197	3	1	41
119800	1198	3	1	46
119900	1199	3	2	36
120000	1200	3	2	49
120100	1201	2	1	34
120200	1202	2	2	50
120300	1203	2	2	33
120400	1204	3	1	31
120500	1205	3	1	8
120600	1206	2	2	27
120700	1207	2	2	34
120800	1208	2	2	54
120900	1209	2	2	27
121000	1210	2	2	13
121100	1211	2	1	44
121200	1212	2	2	4
121300	1213	2	2	12
121400	1214	2	2	36
121500	1215	2	1	21
121600	1216	2	2	20
121700	1217	2	1	22
121800	1218	2	1	48
121900	1219	2	1	6
122000	1220	2	2	12
122100	1221	2	2	24
122200	1222	2	1	21
122300	1223	2	2	6
122400	1224	2	2	18
122500	1225	3	2	4
